BJBE,007 Everything or Nothing
AR5E,Rugrats I Gotta Go Party
A3BE,Sabrina the Teenage Witch Potion Commotion
AJTE,Samurai Jack The Amulet of Time
AXXP,Santa Claus Jr Advance
AP8E,Scooby Doo
BMUE,Scooby-Doo 2 Monsters Unleashed
ASDE,Scooby-Doo and the Cyber Chase
ASZE,The Scorpion King Sword of Osiris
ASZP,The Scorpion King Sword of Osiris
BLAE,Scrabble Blast!
BHVP,Scurge Hive
BHVE,Scurge Hive
FSDJ,SD Gundam World Gachapon Senshi - Scramble Wars
AYLE,Sega Rally Championship
A3PE,SEGA Smashpack
AENE,Serious Sam
BHLE,Shaman King Legacy of the Spirits - Soaring Hawk
BSOE,Shaman King Master of Spirits
B2ME,Shaman King Master of Spirits 2
ASCE,Shaun Palmers Pro Snowboarder
U33J,Shin Bokura no Taiyō Gyakushū no Sabata
AF5E,Shining Force Resurrection of the Dark Dragon
AHUP,Shining Soul
AU2E,Shining Soul II
AAUJ,Shin Megami Tensei
AOIE,Shrek Reekin Havoc
B3HE,Shrek the Third
B3GE,Sigma Star Saga
ASHJ,Silent Hill Play Novel
A5CE,SimCity 2000
A4AE,The Simpsons Road Rage
ASQE,Snood
B2VE,Snood 2 On Vacation
ASOE,Sonic Advance
ASOP,Sonic Advance
B3SE,Sonic Advance 3
A3VE,Sonic Pinball Party
BVGJ,Soundvoyager
A5UE,Space Channel 5
AIDE,Space Invaders
AS6P,Speedball 2 Brutal Deluxe
ASPE,SpongeBob SquarePants SuperSponge
BSTE,Spyro Orange The Cortex Conspiracy
FSOJ,Star Soldier
AS2E,Star Wars Episode II - Attack of the Clones
BE3E,Star Wars Episode III - Revenge of the Sith
BCKE,Star Wars Trilogy Apprentice of the Force
BCKP,Star Wars Trilogy Apprentice of the Force
AS8E,Star X
BKTJ,The Steel Empire
BKTP,The Steel Empire
AZUP,Street Fighter Alpha 3
AZUE,Street Fighter Alpha 3
AUXP,Stuntman
AUXE,Stuntman
B3ZE,Sudoku Fever
B3CJ,Summon Night Craft Sword Monogatari Hajimari no Ishi
AB4E,Summon Night Swordcraft Story
AA6P,The Sum of All Fears
ADFJ,Super Dodge Ball Advance
ADFE,Super Dodge Ball Advance
AZNE,Super Dropzone Intergalactic Rescue Mission
BDPE,Super Duper Sumos
AG5E,Super Ghouls N Ghosts
BQXE,Superman Returns Fortress of Solitude
AMAE,Super Mario Advance
AMAP,Super Mario Advance
FSMJ,Super Mario Bros
FSME,Super Mario Bros
FSMP,Super Mario Bros
AX4P,Super Mario Bros 3
AX4E,Super Mario Bros 3
FM2J,Super Mario Bros The Lost Levels
AA2E,Super Mario World Super Mario Advance 2
AA2P,Super Mario World Super Mario Advance 2
ALUP,Super Monkey Ball Jr
AZ8E,Super Puzzle Fighter II Turbo
BDMJ,Super Real Mahjong Dōsōkai
AOGE,Super Robot Taisen Original Generation
B2RE,Super Robot Taisen Original Generation 2
AXRJ,Super Street Fighter II Turbo Revival
AXRE,Super Street Fighter II Turbo Revival
AXRP,Super Street Fighter II Turbo Revival
AVSE,Sword of Mana
AVSP,Sword of Mana
AVSX,Sword of Mana
ATOE,Tactics Ogre The Knight of Lodis
BJUE,Tak and the Power of Juju
AN8E,Tales of Phantasia
AN8P,Tales of Phantasia
ATAE,Tang Tang
BNTE,Teenage Mutant Ninja Turtles
ATKE,Tekken Advance
AO3E,Terminator 3 Rise of the Machines
ATWE,Tetris Worlds
ATWX,Tetris Worlds
ATWJ,Tetris Worlds
A3TE,The Three Stooges
BTBE,Thunderbirds
BTWE,Tiger Woods PGA Tour 2004
ATTP,Tiny Toon Adventures Scary Dreams
ATTE,Tiny Toon Adventures Scary Dreams
BEXE,TMNT
BEXP,TMNT
ATQP,TOCA World Touring Cars
ATJE,Tom and Jerry The Magic Ring
AO4E,Tom Clancys Splinter Cell
AO4P,Tom Clancys Splinter Cell
BSLE,Tom Clancys Splinter Cell Pandora Tomorrow
ATHE,Tony Hawks Pro Skater 2
ATHP,Tony Hawks Pro Skater 2
ATHD,Tony Hawks Pro Skater 2
AT6E,Tony Hawks Pro Skater 4
AGTJ,Top Gear GT Championship
ATGE,Top Gun Firestorm
BTUE,Totally Spies!
BTRE,The Tower SP
AT4E,Turok Evolution
AK2E,Ultimate Muscle The Kinnikuman Legacy - The Path of the Superhero
BULE,Ultimate Spider-Man
BOCE,The Urbz Sims in the City
BANE,Van Helsing
BZTE,VeggieTales LarryBoy and the Bad Apple
AVRP,V-Rally 3
FWCJ,Vs Wrecking Crew
AWAJ,Warioland 4
AWAP,Warioland 4
AWAE,Warioland 4
AZWE,WarioWare Inc Mega Microgames
AZWP,WarioWare Inc Mega Microgames
RZWE,WarioWare Twisted!
AEWJ,Wi-El World Soccer Winning Eleven
AWOE,Wolfenstein 3D
AWYE,Worms World Party
AWVE,X2 Wolverines Revenge
FXVP,Xevious
B3XE,X-Men The Official Game
BYUJ,Yggdra Union Well Never Fight Alone
BYUE,Yggdra Union Well Never Fight Alone
A3AE,Yoshis Island Super Mario Advance 3
A3AP,Yoshis Island Super Mario Advance 3
KYGP,Yoshi Topsy-Turvy
KYGE,Yoshi Topsy-Turvy
AY5E,Yu-Gi-Oh! The Eternal Duelist Soul
BYWE,Yu-Gi-Oh! World Championship Tournament 2004
AYWE,Yu-Gi-Oh! Worldwide Edition Stairway to the Destined Duel
FLBJ,Zelda II The Adventure of Link
FLBE,Zelda II The Adventure of Link
FLBP,Zelda II The Adventure of Link
AZ2E,Zoids Legacy
AZEE,Zone of the Enders The Fist of Mars
ANCE,ZooCube
